den;hodina;systemova_odchylka_mwh;Součet abs. hodnot odchylek (MWh);Kladné odchylky (MWh);Záporné odchylky (MWh);Zaokrouhlení odchylek (MWh);Náklady na RE (Kč);Náklady na odchylky (Kč);"Zúčtovací cena odchylky
(Kč/MWh)";Zúčtovací cena protiodchylky (Kč/MWh);Cena dle ochranné komponenty RE (Kč/MWh);Cena dle komponenty RE (Kč/MWh);"Cena dle komponenty VDT 
(Kč/MWh)";"Cena dle komponenty SO 
(Kč/MWh)";"Cena neuskutečněné aktivace 
(Kč/MWh)"
01.01.2023;1;-94,346;487,168;196,411;-290,757;-0,081;22960413,5;-2309720,61;17284,9;13828,07;88308,78;16766;285,47;17284,9;2194,5
01.01.2023;2;-96,922;382,09;142,584;-239,506;-0,076;686582,42;-1895241,28;12117,1;7061,64;7070,63;12117,1;237,75;10061,87;2194,5
01.01.2023;3;-43,255;374,459;165,602;-208,857;-0,106;140943,63;-528351,84;4291,8;2222,32;2436,9;4291,8;252,15;3479,2;2194,5
01.01.2023;4;1,716;407,72;204,718;-203,002;-0,075;85862,78;-49978,19;-1527,9;-1294,62;-1703,18;-1521,9;-263,93;-1527,9;2158,3
01.01.2023;5;28,997;457,309;243,153;-214,156;-0,102;63302,97;-137540,26;-1422,98;-973,41;-1117,66;-1321,5;-266,13;-1422,98;2194,5
01.01.2023;6;41,136;479,268;260,202;-219,066;-0,08;6885,99;-113278,95;-596,87;-191,85;-187,98;-503,3;-260,08;-596,87;2194,5
01.01.2023;7;-17,336;512,166;247,415;-264,751;-0,076;-15916,84;-248127,07;202,06;-786,66;-795,26;-748,1;202,06;-652,75;2194,5
01.01.2023;8;-15,589;544,387;264,399;-279,988;-0,084;4412,23;-202400;234,9;-516,76;-472,22;-420,1;234,9;-334,36;2194,5
01.01.2023;9;17,369;586,637;302,003;-284,634;-0,058;76272,29;-555436,12;-6046,89;-4464,48;-4460,27;-5986,1;-269,89;-6046,89;2194,5
01.01.2023;10;139,284;642,936;391,11;-251,826;-0,077;372756,99;-795543,17;-3802,79;-2747;-2721,79;-3315,3;-189,09;-3802,79;2194,5
01.01.2023;11;203,356;671,352;437,354;-233,998;-0,049;419805,95;-1020875,1;-3459,94;-2104,05;-2085,6;-2784,3;-241,24;-3459,94;2194,5
01.01.2023;12;160,506;727,392;443,949;-283,443;-0,057;271780,26;-1197903,19;-3617,3;-1439,42;-1531,19;-3617,3;-266,85;-2526,87;2194,5
01.01.2023;13;99,813;618,617;359,215;-259,402;-0,084;174776,5;-451591,05;-2471,1;-1681,04;-1700,49;-2471,1;-488,81;-1837,24;2194,5
01.01.2023;14;62,996;544,732;303,864;-240,868;-0,049;139040,96;-378820,29;-2428,6;-1491,04;-1639,49;-2428,6;-390,11;-990,98;2194,5
01.01.2023;15;35,594;529,918;282,756;-247,162;-0,049;171189,25;-246240,71;-2341,3;-1682,2;-2075,87;-2341,3;-380,12;334,12;2194,5
01.01.2023;16;-14,938;505,598;245,33;-260,268;-0,078;260067,53;-556442,03;6306,3;4422,15;5167,57;6306,3;791,08;4736,55;2194,5
01.01.2023;17;-72,731;548,735;238,002;-310,733;-0,106;830741,96;-1937481,87;11286,8;6595,32;7725,09;11286,8;1441,35;10853,42;2194,5
01.01.2023;18;-16,2;669,366;326,583;-342,783;-0,053;490561,03;-792788,87;12867,5;11078,26;11985,81;12867,5;1828,88;11817,4;2194,5
01.01.2023;19;8,997;604,777;306,887;-297,89;-0,065;5844093,98;-5844091,96;-96646,83;-79947,51;-96646,83;-171329,4;1757,03;-171360,88;2194,5
01.01.2023;20;25,61;646,544;336,077;-310,467;-0,077;323279,91;-281101,03;-2679,2;-1994,79;-2804,7;-2679,2;2097,94;-2463,53;2147,4
01.01.2023;21;-5,989;551,301;272,656;-278,645;-0,056;250129,93;-604257,04;4951,8;2844,38;3680,91;4951,8;2447,42;3723,23;2194,5
01.01.2023;22;-35,096;506,584;235,744;-270,84;-0,069;97993,46;-568327,63;3112,8;1165,43;1376,22;3112,8;1922,59;2030,32;2194,5
01.01.2023;23;23,936;592,72;308,328;-284,392;-0,066;-50954,29;-1164164,48;-339,1;3725,88;3601,89;-339,1;1241,83;3428,32;2194,5
01.01.2023;24;-5,133;588,089;291,478;-296,611;-0,087;3271506,2;-648444,25;6072,4;3954,66;14915,84;6072,4;1624,89;5420,63;2194,5
02.01.2023;1;156,501;703,359;429,93;-273,429;-0,093;348638,53;-1152386,07;-3941,95;-1983,61;-2072,46;-3431,9;1169,14;-3941,95;2199,9
02.01.2023;2;211,186;695,826;453,506;-242,32;-0,055;412005,06;-1372567,04;-4067,35;-1947,84;-1949,27;-3328,2;1131,79;-4067,35;2199,9
02.01.2023;3;231,703;784,051;507,877;-276,174;-0,086;526703,79;-1525172,15;-4217,26;-2232,93;-2251,29;-3406,3;895,1;-4217,26;2199,9
02.01.2023;4;234,051;859,237;546,644;-312,593;-0,091;769436,08;-4082109,1;-9312,07;-3225,53;-3252,05;-8492,9;960,38;-9312,07;2199,9
02.01.2023;5;103,239;876,863;490,051;-386,812;-0,081;194809,37;-851416,33;-3102,1;-1728,93;-1762,22;-3102,1;841,95;-2378,53;2199,9
02.01.2023;6;190,775;868,343;529,559;-338,784;-0,077;4286479,29;-4286479,08;-22049,92;-21814,06;-22049,92;-51529,7;969,17;-46721,11;2152,8
02.01.2023;7;88,645;1065,229;576,937;-488,292;-0,07;2714161,62;-2714157,52;-20051,63;-18133,35;-20051,63;-29780,9;1689,81;-30091,15;2163,7
02.01.2023;8;10,545;1248,605;629,575;-619,03;-0,069;38031,78;-1752414,16;-4229,8;-1470,95;-1506,72;-4192,9;2431,56;-4229,8;2152,8
02.01.2023;9;-60,352;1132,426;536,037;-596,389;-0,085;153940;-1008620,11;3373,36;1871,54;1940,26;3144,2;3373,36;2971,33;2152,8
02.01.2023;10;85,77;1072,712;579,241;-493,471;-0,071;-215860,87;-1436224,33;-408,8;2430,6;2443,35;-408,8;2910,79;-100,29;2163,7
02.01.2023;11;91,305;980,483;535,894;-444,589;-0,064;-231300,15;-1238744,99;0;2786,27;2743,16;0;2785,67;1713,03;2163,7
02.01.2023;12;53,407;976,755;515,081;-461,674;-0,069;1146,34;-313418,98;-533,32;83,86;72,93;-346,4;2817,35;-533,32;2163,7
02.01.2023;13;-93,331;978,335;442,502;-535,833;-0,088;206066,19;-2370485,41;6239,6;2198,63;2200,24;6239,6;3373,88;3764,62;2163,7
02.01.2023;14;-116,219;937,859;410,82;-527,039;-0,069;292642,96;-931651,19;3653,1;2418,76;2440,65;3013,9;3468,25;3653,1;2163,7
02.01.2023;15;62,832;815,158;438,995;-376,163;-0,079;-23187,04;-338408,56;-252,6;604,84;571,08;-252,6;2996,41;-166,51;2163,7
02.01.2023;16;40,554;875,586;458,07;-417,516;-0,083;-189209,45;-1909926,94;0;4574,5;4582,56;0;3273,29;1442,06;2163,7
02.01.2023;17;-35,888;646,002;305,057;-340,945;-0,082;173497,09;-1092838,86;5622,48;2701,52;2926,02;5425,1;3657,69;5622,48;2199,9
02.01.2023;18;2,82;671,536;337,178;-334,358;-0,072;61580,72;-169696,58;-1327,9;-831,57;-1007,25;-1327,9;2895,52;-987,47;2272,5
02.01.2023;19;-38,498;605,994;283,748;-322,246;-0,071;41079,82;-930947,28;3517,66;714,03;756,2;2226,8;3517,66;1686,93;2332,9
02.01.2023;20;-102,857;616,667;256,905;-359,762;-0,08;137191,76;-1214715,9;4296,6;1288,56;1301,49;4296,6;3529,37;2175,31;2212
02.01.2023;21;-123,841;614,781;245,47;-369,311;-0,083;518129,7;-1424019,9;6236,02;3580,93;3783,1;6185,7;3781,3;6236,02;2272,5
02.01.2023;22;-76,828;682,396;302,784;-379,612;-0,077;1026515,64;-3566391,79;16923,7;9439,23;10232,98;16923,7;3589,02;11155,75;2272,5
02.01.2023;23;-106,949;629,897;261,474;-368,423;-0,086;325521,74;-755466,54;4040,21;2803,49;2873,22;3795,5;3055,72;4040,21;2272,5
02.01.2023;24;-43,829;562,345;259,258;-303,087;-0,08;56185,52;-694845,17;3135,42;985,35;1028,23;2873,2;3135,42;1663,05;2272,5
03.01.2023;1;35,022;445,428;240,225;-205,203;-0,098;-13160,14;-113109,94;0;551,21;525,63;0;2307,39;230,62;2243,6
03.01.2023;2;122,678;527,838;325,258;-202,58;-0,113;-7208,66;-113355,23;-144,47;327,6;226,2;-42,2;2313,25;-144,47;2243,6
03.01.2023;3;61,808;530,802;296,305;-234,497;-0,085;-20104,96;-283834,08;-291,7;841,81;734,06;-291,7;2304,81;46,37;2303,9
03.01.2023;4;50,583;542,337;296,46;-245,877;-0,086;-112748,76;-579613,22;0;2357,33;2335,43;0;2187,87;818,15;2303,9
03.01.2023;5;-6,746;494,86;244,057;-250,803;-0,114;15882,35;-638007,52;4708;2223,96;2227,46;4708;2809,83;2743,7;2303,9
03.01.2023;6;-118,878;595,436;238,279;-357,157;-0,073;1288905,62;-3281440,46;15352,7;9240,78;9773,82;15352,7;3142,15;15320,62;2303,9
03.01.2023;7;-357,932;737,978;190,023;-547,955;-0,066;7316579,82;-7316579,48;20356,95;20198,15;20356,95;40834,9;3867,2;42803,52;2303,9
