den;hodina;systemova_odchylka_mwh;Součet abs. hodnot odchylek (MWh);Kladné odchylky (MWh);Záporné odchylky (MWh);Zaokrouhlení odchylek (MWh);Náklady na RE (Kč);Náklady na odchylky (Kč);"Zúčtovací cena odchylky
(Kč/MWh)";Zúčtovací cena protiodchylky (Kč/MWh);Cena dle ochranné komponenty RE (Kč/MWh);Cena dle komponenty RE (Kč/MWh);"Cena dle komponenty VDT 
(Kč/MWh)";"Cena dle komponenty SO 
(Kč/MWh)";"Cena neuskutečněné aktivace 
(Kč/MWh)"
01.01.2023;1;-94,376;486,078;195,851;-290,227;-0,051;22960413,5;-2308349,77;17285,06;13828,07;88443,37;16766;285,47;17285,06;2194,5
01.01.2023;2;-96,924;393,46;148,268;-245,192;-0,074;686582,42;-1924000,75;12117,1;7061,64;7070,36;12117,1;237,75;10061,88;2194,5
01.01.2023;3;-43,276;368,806;162,765;-206,041;-0,085;140943,63;-522570,85;4291,8;2222,32;2439,6;4291,8;252,15;3479,31;2194,5
01.01.2023;4;1,72;407,832;204,776;-203,056;-0,079;85862,78;-50000,99;-1527,92;-1294,62;-1703,04;-1521,9;-263,93;-1527,92;2158,3
01.01.2023;5;28,985;472,875;250,93;-221,945;-0,09;63302,97;-141014,85;-1422,94;-973,41;-1113,24;-1321,5;-266,13;-1422,94;2194,5
01.01.2023;6;41,126;481,802;261,464;-220,338;-0,07;6885,99;-113780,33;-596,84;-191,85;-188;-503,3;-260,08;-596,84;2194,5
01.01.2023;7;-17,36;561,002;271,821;-289,181;-0,052;-15916,84;-272262,62;202,06;-786,66;-794,47;-748,1;202,06;-652,62;2194,5
01.01.2023;8;-15,594;598,254;291,33;-306,924;-0,079;4412,23;-222644,13;234,9;-516,76;-476,12;-420,1;234,9;-334,33;2194,5
01.01.2023;9;17,377;646,457;331,917;-314,54;-0,066;76272,29;-602814,69;-6046,91;-4464,48;-4460,54;-5986,1;-269,89;-6046,91;2194,5
01.01.2023;10;139,276;661,618;400,447;-261,171;-0,069;372756,99;-805367,1;-3802,76;-2747;-2722,44;-3315,3;-189,09;-3802,76;2194,5
01.01.2023;11;205,114;669,99;437,552;-232,438;-0,057;424026,08;-1026880,29;-3466,09;-2106,86;-2088,3;-2784,3;-241,24;-3466,09;2194,5
01.01.2023;12;160,51;722,562;441,536;-281,026;-0,061;271780,26;-1192653,73;-3617,3;-1439,42;-1531,68;-3617,3;-266,85;-2526,88;2194,5
01.01.2023;13;99,775;617,283;358,529;-258,754;-0,046;174776,5;-450985,19;-2471,1;-1681,04;-1700,7;-2471,1;-488,81;-1837,11;2194,5
01.01.2023;14;62,987;588,071;325,529;-262,542;-0,04;139040,96;-399119,1;-2428,6;-1491,04;-1629,66;-2428,6;-390,11;-990,95;2194,5
01.01.2023;15;35,624;571,202;303,413;-267,789;-0,079;171189,25;-259906,2;-2341,3;-1682,2;-2048,9;-2341,3;-380,12;334,01;2194,5
01.01.2023;16;-14,966;549,512;267,273;-282,239;-0,05;260067,53;-597962,51;6306,3;4422,15;5109,1;6306,3;791,08;4736,71;2194,5
01.01.2023;17;-72,776;588,324;257,774;-330,55;-0,061;830741,96;-2030749,73;11286,8;6595,32;7656,46;11286,8;1441,35;10853,66;2194,5
01.01.2023;18;-16,154;710,918;347,382;-363,536;-0,099;490561,03;-829411,37;12867,5;11078,26;11935,4;12867,5;1828,88;11817,14;2194,5
01.01.2023;19;8,987;645,741;327,364;-318,377;-0,055;5844093,98;-5844091,89;-95604,71;-79947,51;-95604,71;-171329,4;1757,03;-171360,85;2194,5
01.01.2023;20;25,599;683,865;354,732;-329,133;-0,066;323279,91;-293846,76;-2679,2;-1994,79;-2762,17;-2679,2;2097,94;-2463,49;2147,4
01.01.2023;21;-5,993;588,321;291,164;-297,157;-0,052;250129,93;-643280,98;4951,8;2844,38;3628,75;4951,8;2447,42;3723,26;2194,5
01.01.2023;22;-35,085;540,591;252,753;-287,838;-0,08;97993,46;-601416,2;3112,8;1165,43;1363,82;3112,8;1922,59;2030,26;2194,5
01.01.2023;23;23,939;626,353;325,146;-301,207;-0,069;-50954,29;-1232518,14;-339,1;3725,88;3608,27;-339,1;1241,83;3428,31;2194,5
01.01.2023;24;-5,144;619,13;306,993;-312,137;-0,076;3271506,2;-681367,78;6072,4;3954,66;14370,48;6072,4;1624,89;5420,69;2194,5
02.01.2023;1;156,5;736,074;446,287;-289,787;-0,092;348638,53;-1184416,64;-3941,95;-1983,61;-2069,21;-3431,9;1169,14;-3941,95;2199,9
02.01.2023;2;211,19;729,272;470,231;-259,041;-0,059;412005,06;-1408028,34;-4067,36;-1947,84;-1949,2;-3328,2;1131,79;-4067,36;2199,9
02.01.2023;3;231,698;814,21;522,954;-291,256;-0,081;526703,79;-1555068,26;-4217,24;-2232,93;-2250,78;-3406,3;895,1;-4217,24;2199,9
02.01.2023;4;234,051;888,113;561,082;-327,031;-0,091;769436,08;-4169986,55;-9312,07;-3225,53;-3251,36;-8492,9;960,38;-9312,07;2199,9
02.01.2023;5;103,261;907,309;505,285;-402,024;-0,103;194809,37;-872373,24;-3102,1;-1728,93;-1761,14;-3102,1;841,95;-2378,61;2199,9
02.01.2023;6;190,78;907,494;549,137;-358,357;-0,082;4286479,29;-4286477,75;-22041,31;-21814,06;-22041,31;-51529,7;969,17;-46721,13;2152,8
02.01.2023;7;88,622;1102,028;595,325;-506,703;-0,047;2714161,62;-2714157,51;-19993,08;-18133,35;-19993,08;-29780,9;1689,81;-30091,07;2163,7
02.01.2023;8;10,533;1292,159;651,346;-640,813;-0,057;38031,78;-1812433,37;-4229,76;-1470,95;-1505,55;-4192,9;2431,56;-4229,76;2152,8
02.01.2023;9;-60,357;1174,219;556,931;-617,288;-0,08;153940;-1040016;3373,36;1871,54;1937,92;3144,2;3373,36;2971,36;2152,8
02.01.2023;10;85,776;1106,598;596,187;-510,411;-0,077;-215860,87;-1484326,22;-408,8;2430,6;2442,96;-408,8;2910,79;-100,31;2163,7
02.01.2023;11;91,292;1009,026;550,159;-458,867;-0,051;-231300,15;-1278527,35;0;2786,27;2744,34;0;2785,67;1713,07;2163,7
02.01.2023;12;53,4;1006,124;529,762;-476,362;-0,062;1146,34;-322469,79;-533,3;83,86;73,24;-346,4;2817,35;-533,3;2163,7
02.01.2023;13;-93,369;1006,569;456,6;-549,969;-0,05;206066,19;-2427692,12;6239,6;2198,63;2200,05;6239,6;3373,88;3764,82;2163,7
